Proctor_ID,Soil_ID,Density_kg/m3,Gs,MassWC_%,VolWC_%,DegreeSat_%,Probe,IsPVC,Metatype,Site
177,18,1680,2.709,17.02,28.6,75.31,2655.3,0,MG112,Beauce (St Prosper)
178,18,1623,2.709,19.69,31.94,79.65,2765.4,0,MG112,Beauce (St Prosper)
180,20,2135,2.83,2.13,4.56,18.56,1954.4,0,MG20,Sherbrooke
181,20,2176,2.83,3.51,7.63,33.02,2017.15,0,MG20,Sherbrooke
182,20,2177,2.83,4.38,9.54,41.34,2071.45,0,MG20,Sherbrooke
183,20,2220,2.83,4.9,10.87,50.4,2091.55,0,MG20,Sherbrooke
184,20,2290,2.83,5.33,12.19,63.9,2140.25,0,MG20,Sherbrooke
185,20,2281,2.83,6.11,13.95,71.95,2411.45,0,MG20,Sherbrooke
186,20,2277,2.83,6.18,14.08,72.06,2288,0,MG20,Sherbrooke
187,20,2233,2.83,4.91,10.97,52.01,2101,0,MG20,Sherbrooke
188,20,2267,2.83,5.55,12.58,63.22,2277.45,0,MG20,Sherbrooke
189,20,2321,2.83,6.25,14.5,80.6,2358.75,0,MG20,Sherbrooke
190,21,2179,2.781,4.81,10.49,48.47,2114.6,0,MG20,Beauce (St Prosper)
191,21,2235,2.781,5.67,12.67,64.49,2251.05,0,MG20,Beauce (St Prosper)
192,21,2233,2.781,6.01,13.43,68.09,2308,0,MG20,Beauce (St Prosper)
193,21,2253.13,2.781,6.56,14.78,77.85,2365.75,0,MG20,Beauce (St Prosper)
194,21,2100.93,2.781,5.01,10.53,43.08,2078.8,0,MG20,Beauce (St Prosper)
195,21,2100.93,2.781,8.97,18.84,77.03,2872,1,MG20,Beauce (St Prosper)
196,21,2101,2.781,5.01,10.53,43,2078.8,1,MG20,Beauce (St Prosper)
197,21,2101,2.781,8.97,18.84,77,2872,1,MG20,Beauce (St Prosper)
198,21,2149,2.781,5.74,12.34,54,2139.5,1,MG20,Beauce (St Prosper)
199,21,2149,2.781,8.48,18.22,80,2728,1,MG20,Beauce (St Prosper)
200,21,2081,2.781,5.75,11.98,48,2135.1,1,MG20,Beauce (St Prosper)
201,21,2081,2.781,10.27,21.38,85,2869,1,MG20,Beauce (St Prosper)
202,21,2149.34,2.781,5.74,12.34,54.33,2119.3,0,MG20,Beauce (St Prosper)
203,21,2149.34,2.781,8.48,18.22,80.2,2728,1,MG20,Beauce (St Prosper)
204,22,2184,2.784,4.58,10,46.42,2056.05,0,MG112,Beauce
