Proctor_ID,Soil_ID,Density_kg/m3,MassWC_%,VolWC_%,DegreeSat_%,Probe,IsPVC
277,30,1933.2,10.53,20.35,71,2554.95,0
278,30,1947.2,12.67,24.67,88,2609.9,0
279,31,2198.5,5.25,11.55,61,2032.8,0
280,31,2210.8,6.67,14.74,80,2314.45,0
281,31,2174,8.76,19.05,97,2634.2,0
282,32,1672.9,7.02,11.75,31,2079.5,0
283,32,1660.5,9.26,15.37,40,2201,0
284,32,1689.3,12.11,20.46,55,2380,0
285,32,1703,17.04,29.01,80,2603.5,0
286,32,1728,14.03,24.24,68,2554,1
287,32,1706,14.73,25.13,69,2571,1
288,32,1702.6,13.07,22.24,61,2506,0
289,32,1740.8,14.04,24.45,70,2587.5,0
290,32,1715.8,15.07,25.86,72,2587.5,0
291,32,1687.2,15.24,25.72,70,2657.5,0
292,33,2150.4,3.31,7.12,32,2008.15,0
293,33,2128.5,4.16,8.85,39,2044.25,0
294,33,2170.5,5.33,11.56,54,2066.05,0
295,33,2184.6,5.97,13.04,63,2231.45,0
296,33,2080.1,8.17,16.99,69,2435.5,0
297,33,2064,9.01,18.59,74,2619,0
298,34,1706.5,3.42,5.83,16,2015,0
299,34,1704.6,6.82,11.63,31,2092.5,0
300,34,1725.4,7.75,13.36,36,2179,0
301,34,1704,18.68,31.83,85,2594,1
302,34,1788,14.51,25.93,75,2546,1
303,34,1847,13.02,24.05,74,2619,1
304,34,1847,16.72,30.87,95,2849,1
305,34,1788,13.38,23.93,69,2548.5,1
306,34,1788,15.46,27.64,80,2809,1
307,34,1776,12.73,22.6,65,2520,1
308,34,1776,17.85,31.7,91,2816,1
309,34,1744.8,10.87,18.97,53,2379,0
310,34,1830.6,13.26,24.27,74,2504,0
311,34,1792.9,13.4,24.03,70,2584,0
312,35,2091.6,3.78,7.9,37,2029.5,0
313,35,2141.1,5.08,10.87,55,2171,0
314,35,2165.6,6.22,13.48,72,2164.5,0
315,35,2140,7.6,16.25,82,2555,0
316,35,2086.4,8.42,17.58,81,2399,0
